Contest	Problem	Count	Difficulty	URI
480	A	728	1982	http://codeforces.com/problemset/problem/480/A/
516	A	1042	1991	http://codeforces.com/problemset/problem/516/A/
482	A	807	1994	http://codeforces.com/problemset/problem/482/A/
468	A	783	2011	http://codeforces.com/problemset/problem/468/A/
555	A	992	2011	http://codeforces.com/problemset/problem/555/A/
576	A	912	2012	http://codeforces.com/problemset/problem/576/A/
559	A	985	2016	http://codeforces.com/problemset/problem/559/A/
497	A	716	2027	http://codeforces.com/problemset/problem/497/A/
553	A	711	2030	http://codeforces.com/problemset/problem/553/A/
573	A	1013	2032	http://codeforces.com/problemset/problem/573/A/
461	A	960	2032	http://codeforces.com/problemset/problem/461/A/
480	B	490	2040	http://codeforces.com/problemset/problem/480/B/
568	A	752	2042	http://codeforces.com/problemset/problem/568/A/
484	A	622	2043	http://codeforces.com/problemset/problem/484/A/
477	A	705	2047	http://codeforces.com/problemset/problem/477/A/
521	A	568	2048	http://codeforces.com/problemset/problem/521/A/
367	A	595	2049	http://codeforces.com/problemset/problem/367/A/
528	A	805	2051	http://codeforces.com/problemset/problem/528/A/
288	A	573	2051	http://codeforces.com/problemset/problem/288/A/
333	A	507	2054	http://codeforces.com/problemset/problem/333/A/
494	A	658	2054	http://codeforces.com/problemset/problem/494/A/
388	A	754	2055	http://codeforces.com/problemset/problem/388/A/
286	A	480	2056	http://codeforces.com/problemset/problem/286/A/
274	A	458	2056	http://codeforces.com/problemset/problem/274/A/
512	A	801	2057	http://codeforces.com/problemset/problem/512/A/
251	A	450	2057	http://codeforces.com/problemset/problem/251/A/
536	A	457	2062	http://codeforces.com/problemset/problem/536/A/
403	A	525	2063	http://codeforces.com/problemset/problem/403/A/
383	A	604	2066	http://codeforces.com/problemset/problem/383/A/
498	A	555	2066	http://codeforces.com/problemset/problem/498/A/
449	A	368	2067	http://codeforces.com/problemset/problem/449/A/
283	A	404	2068	http://codeforces.com/problemset/problem/283/A/
573	B	828	2070	http://codeforces.com/problemset/problem/573/B/
145	A	330	2070	http://codeforces.com/problemset/problem/145/A/
354	A	492	2072	http://codeforces.com/problemset/problem/354/A/
273	A	495	2073	http://codeforces.com/problemset/problem/273/A/
329	A	472	2073	http://codeforces.com/problemset/problem/329/A/
406	A	516	2073	http://codeforces.com/problemset/problem/406/A/
277	A	592	2075	http://codeforces.com/problemset/problem/277/A/
154	A	358	2076	http://codeforces.com/problemset/problem/154/A/
356	A	459	2076	http://codeforces.com/problemset/problem/356/A/
455	A	766	2076	http://codeforces.com/problemset/problem/455/A/
311	A	443	2077	http://codeforces.com/problemset/problem/311/A/
150	A	384	2078	http://codeforces.com/problemset/problem/150/A/
288	B	536	2078	http://codeforces.com/problemset/problem/288/B/
414	A	663	2080	http://codeforces.com/problemset/problem/414/A/
364	A	440	2080	http://codeforces.com/problemset/problem/364/A/
414	B	688	2081	http://codeforces.com/problemset/problem/414/B/
295	A	549	2081	http://codeforces.com/problemset/problem/295/A/
235	A	313	2082	http://codeforces.com/problemset/problem/235/A/
226	A	387	2083	http://codeforces.com/problemset/problem/226/A/
348	A	450	2083	http://codeforces.com/problemset/problem/348/A/
453	A	637	2084	http://codeforces.com/problemset/problem/453/A/
487	A	467	2085	http://codeforces.com/problemset/problem/487/A/
429	A	645	2086	http://codeforces.com/problemset/problem/429/A/
338	A	318	2087	http://codeforces.com/problemset/problem/338/A/
329	B	449	2089	http://codeforces.com/problemset/problem/329/B/
346	A	494	2089	http://codeforces.com/problemset/problem/346/A/
343	A	503	2090	http://codeforces.com/problemset/problem/343/A/
150	B	378	2091	http://codeforces.com/problemset/problem/150/B/
264	A	518	2092	http://codeforces.com/problemset/problem/264/A/
341	A	443	2093	http://codeforces.com/problemset/problem/341/A/
351	A	304	2093	http://codeforces.com/problemset/problem/351/A/
504	A	513	2093	http://codeforces.com/problemset/problem/504/A/
261	A	409	2094	http://codeforces.com/problemset/problem/261/A/
343	B	480	2094	http://codeforces.com/problemset/problem/343/B/
559	B	588	2094	http://codeforces.com/problemset/problem/559/B/
217	A	331	2095	http://codeforces.com/problemset/problem/217/A/
156	A	242	2097	http://codeforces.com/problemset/problem/156/A/
438	A	651	2097	http://codeforces.com/problemset/problem/438/A/
341	B	492	2098	http://codeforces.com/problemset/problem/341/B/
482	B	462	2099	http://codeforces.com/problemset/problem/482/B/
154	B	334	2101	http://codeforces.com/problemset/problem/154/B/
229	A	279	2102	http://codeforces.com/problemset/problem/229/A/
167	A	364	2102	http://codeforces.com/problemset/problem/167/A/
220	A	388	2103	http://codeforces.com/problemset/problem/220/A/
258	A	478	2103	http://codeforces.com/problemset/problem/258/A/
425	A	505	2103	http://codeforces.com/problemset/problem/425/A/
314	A	410	2104	http://codeforces.com/problemset/problem/314/A/
477	B	467	2108	http://codeforces.com/problemset/problem/477/B/
380	A	478	2108	http://codeforces.com/problemset/problem/380/A/
547	B	582	2108	http://codeforces.com/problemset/problem/547/B/
480	C	387	2109	http://codeforces.com/problemset/problem/480/C/
295	B	460	2110	http://codeforces.com/problemset/problem/295/B/
297	A	396	2110	http://codeforces.com/problemset/problem/297/A/
283	B	400	2110	http://codeforces.com/problemset/problem/283/B/
317	A	432	2111	http://codeforces.com/problemset/problem/317/A/
446	A	426	2112	http://codeforces.com/problemset/problem/446/A/
333	B	363	2112	http://codeforces.com/problemset/problem/333/B/
273	B	389	2112	http://codeforces.com/problemset/problem/273/B/
377	A	460	2113	http://codeforces.com/problemset/problem/377/A/
568	B	565	2113	http://codeforces.com/problemset/problem/568/B/
372	A	490	2113	http://codeforces.com/problemset/problem/372/A/
698	A	556	2113	http://codeforces.com/problemset/problem/698/A/
288	C	436	2115	http://codeforces.com/problemset/problem/288/C/
444	A	403	2116	http://codeforces.com/problemset/problem/444/A/
429	B	491	2116	http://codeforces.com/problemset/problem/429/B/
232	A	258	2117	http://codeforces.com/problemset/problem/232/A/
406	B	440	2119	http://codeforces.com/problemset/problem/406/B/
543	A	459	2119	http://codeforces.com/problemset/problem/543/A/
269	A	465	2119	http://codeforces.com/problemset/problem/269/A/
464	A	551	2120	http://codeforces.com/problemset/problem/464/A/
145	B	168	2121	http://codeforces.com/problemset/problem/145/B/
187	A	279	2121	http://codeforces.com/problemset/problem/187/A/
687	A	533	2122	http://codeforces.com/problemset/problem/687/A/
407	A	335	2122	http://codeforces.com/problemset/problem/407/A/
142	A	331	2123	http://codeforces.com/problemset/problem/142/A/
407	B	388	2124	http://codeforces.com/problemset/problem/407/B/
303	A	386	2124	http://codeforces.com/problemset/problem/303/A/
196	A	365	2124	http://codeforces.com/problemset/problem/196/A/
360	A	289	2126	http://codeforces.com/problemset/problem/360/A/
528	B	597	2126	http://codeforces.com/problemset/problem/528/B/
256	A	272	2126	http://codeforces.com/problemset/problem/256/A/
319	A	415	2126	http://codeforces.com/problemset/problem/319/A/
297	B	445	2126	http://codeforces.com/problemset/problem/297/B/
229	B	244	2128	http://codeforces.com/problemset/problem/229/B/
375	A	384	2128	http://codeforces.com/problemset/problem/375/A/
185	A	336	2128	http://codeforces.com/problemset/problem/185/A/
213	A	195	2129	http://codeforces.com/problemset/problem/213/A/
553	B	415	2129	http://codeforces.com/problemset/problem/553/B/
204	B	263	2130	http://codeforces.com/problemset/problem/204/B/
685	A	441	2130	http://codeforces.com/problemset/problem/685/A/
142	B	247	2131	http://codeforces.com/problemset/problem/142/B/
243	A	279	2131	http://codeforces.com/problemset/problem/243/A/
698	B	496	2131	http://codeforces.com/problemset/problem/698/B/
264	B	426	2133	http://codeforces.com/problemset/problem/264/B/
696	A	456	2133	http://codeforces.com/problemset/problem/696/A/
280	D	4	2134	http://codeforces.com/problemset/problem/280/D/
321	A	269	2135	http://codeforces.com/problemset/problem/321/A/
191	A	273	2135	http://codeforces.com/problemset/problem/191/A/
679	A	529	2136	http://codeforces.com/problemset/problem/679/A/
274	B	310	2139	http://codeforces.com/problemset/problem/274/B/
204	A	252	2139	http://codeforces.com/problemset/problem/204/A/
238	A	314	2139	http://codeforces.com/problemset/problem/238/A/
434	A	232	2141	http://codeforces.com/problemset/problem/434/A/
156	B	284	2142	http://codeforces.com/problemset/problem/156/B/
301	A	319	2143	http://codeforces.com/problemset/problem/301/A/
251	B	212	2143	http://codeforces.com/problemset/problem/251/B/
201	A	210	2146	http://codeforces.com/problemset/problem/201/A/
555	B	528	2147	http://codeforces.com/problemset/problem/555/B/
696	B	438	2148	http://codeforces.com/problemset/problem/696/B/
367	B	282	2148	http://codeforces.com/problemset/problem/367/B/
516	B	357	2149	http://codeforces.com/problemset/problem/516/B/
249	A	75	2149	http://codeforces.com/problemset/problem/249/A/
497	B	454	2150	http://codeforces.com/problemset/problem/497/B/
512	B	509	2154	http://codeforces.com/problemset/problem/512/B/
167	B	199	2156	http://codeforces.com/problemset/problem/167/B/
191	B	223	2156	http://codeforces.com/problemset/problem/191/B/
442	B	284	2156	http://codeforces.com/problemset/problem/442/B/
256	B	244	2157	http://codeforces.com/problemset/problem/256/B/
700	A	283	2158	http://codeforces.com/problemset/problem/700/A/
269	B	388	2158	http://codeforces.com/problemset/problem/269/B/
280	B	266	2160	http://codeforces.com/problemset/problem/280/B/
193	A	196	2161	http://codeforces.com/problemset/problem/193/A/
321	B	219	2161	http://codeforces.com/problemset/problem/321/B/
351	B	324	2161	http://codeforces.com/problemset/problem/351/B/
442	A	344	2161	http://codeforces.com/problemset/problem/442/A/
536	B	308	2162	http://codeforces.com/problemset/problem/536/B/
356	B	276	2162	http://codeforces.com/problemset/problem/356/B/
449	B	209	2163	http://codeforces.com/problemset/problem/449/B/
303	B	244	2164	http://codeforces.com/problemset/problem/303/B/
301	B	133	2164	http://codeforces.com/problemset/problem/301/B/
403	B	236	2165	http://codeforces.com/problemset/problem/403/B/
198	A	213	2165	http://codeforces.com/problemset/problem/198/A/
198	B	232	2166	http://codeforces.com/problemset/problem/198/B/
650	A	478	2167	http://codeforces.com/problemset/problem/650/A/
468	B	263	2168	http://codeforces.com/problemset/problem/468/B/
663	A	183	2170	http://codeforces.com/problemset/problem/663/A/
187	B	166	2172	http://codeforces.com/problemset/problem/187/B/
223	A	244	2175	http://codeforces.com/problemset/problem/223/A/
